iter	Passed	Remaining
816	1739	389
817	1740	387
818	1742	385
819	1743	382
820	1745	380
821	1749	378
822	1751	376
823	1756	375
824	1758	372
825	1760	370
826	1762	368
827	1764	366
828	1766	364
829	1768	362
830	1769	359
831	1771	357
832	1772	355
833	1774	353
834	1776	351
835	1777	348
836	1781	346
837	1783	344
838	1784	342
839	1786	340
840	1787	337
841	1789	335
842	1790	333
843	1792	331
844	1793	329
845	1797	327
846	1799	325
847	1800	322
848	1802	320
849	1804	318
850	1809	316
851	1813	315
852	1815	312
853	1816	310
854	1818	308
855	1819	306
856	1821	303
857	1823	301
858	1824	299
859	1826	297
860	1829	295
861	1831	293
862	1833	290
863	1834	288
864	1836	286
865	1837	284
866	1839	282
867	1840	279
868	1842	277
869	1846	275
870	1847	273
871	1849	271
872	1851	269
873	1853	267
874	1854	264
875	1856	262
876	1857	260
877	1861	258
878	1863	256
879	1870	255
880	1873	252
881	1881	251
882	1884	249
883	1886	247
884	1895	246
885	1897	244
886	1907	243
887	1911	241
888	1914	239
889	1921	237
890	1933	236
891	1935	234
892	1937	232
893	1938	229
894	1942	227
895	1944	225
896	1945	223
897	1947	221
898	1949	218
899	1950	216
900	1952	214
901	1954	212
902	1956	210
903	1958	207
904	1960	205
905	1962	203
906	1963	201
907	1965	199
908	1967	196
909	1968	194
910	1970	192
911	1972	190
912	1975	188
913	1979	186
914	1981	184
915	1982	181
916	1984	179
917	1985	177
918	1989	175
919	1991	173
920	1992	170
921	1995	168
922	1997	166
923	1998	164
924	2000	162
925	2002	160
926	2005	157
927	2008	155
928	2010	153
929	2012	151
930	2013	149
931	2015	147
932	2016	144
933	2018	142
934	2021	140
935	2023	138
936	2024	136
937	2026	133
938	2028	131
939	2029	129
940	2031	127
941	2032	125
942	2034	122
943	2038	120
944	2040	118
945	2041	116
946	2043	114
947	2045	112
948	2046	109
949	2048	107
950	2050	105
951	2053	103
952	2056	101
953	2058	99
954	2059	97
955	2061	94
956	2062	92
957	2064	90
958	2065	88
959	2067	86
960	2071	84
961	2073	81
962	2074	79
963	2076	77
964	2077	75
965	2079	73
966	2080	71
967	2082	68
968	2086	66
969	2088	64
970	2090	62
971	2091	60
972	2093	58
973	2095	55
974	2098	53
975	2101	51
976	2103	49
977	2105	47
978	2106	45
979	2108	43
980	2109	40
981	2111	38
982	2113	36
983	2114	34
984	2119	32
985	2120	30
986	2122	27
987	2123	25
988	2125	23
989	2126	21
990	2128	19
991	2129	17
992	2133	15
993	2135	12
994	2137	10
995	2139	8
996	2140	6
997	2142	4
998	2143	2
999	2145	0
