iter	RMSE
0	212.1231115
1	210.6965573
2	207.2797731
3	205.7616944
4	204.3264243
5	202.2155196
6	201.6577226
7	201.2881025
8	200.390511
9	199.1878402
10	197.9557166
11	194.9630294
12	194.251746
13	192.5623198
14	192.233368
15	190.7006244
16	187.9110302
17	187.211555
18	186.1859908
19	185.8010726
20	183.1653031
21	182.7389057
22	181.2541099
23	181.0240609
24	180.8212262
25	180.4175664
26	180.2424995
27	180.0003883
28	179.7496319
29	177.2766104
30	177.0514629
31	176.7362075
32	175.9382182
33	174.6221641
34	172.2022951
35	170.7593787
36	170.3953988
37	169.9277386
38	167.631687
39	167.4881361
40	167.3456802
41	167.1998278
42	167.0563485
43	164.8190265
44	164.1028287
45	163.8349195
46	163.72192
47	163.5766694
48	163.4546441
49	162.5834067
50	162.4717783
51	161.3940618
52	159.2927547
53	159.2054273
54	158.7090304
55	158.5901207
56	157.8406306
57	157.3368402
58	157.2621217
59	157.1640258
60	157.0896261
61	155.6140677
62	155.5384662
63	153.5891833
64	153.4964389
65	153.3857824
66	151.4880139
67	150.8685486
68	150.5471442
69	148.7330965
70	148.1474567
71	147.7936489
72	147.6887161
73	147.6170724
74	147.4287914
75	147.3650621
76	146.8516868
77	145.7179994
78	145.5952677
79	144.9537368
80	143.1913337
81	141.5129611
82	139.8905241
83	139.8182013
84	138.2296408
85	136.6448725
86	136.194217
87	136.158796
88	134.6685827
89	133.4530044
90	133.4136401
91	133.0088632
92	132.5453681
93	132.0458695
94	131.6449903
95	131.2285607
96	130.9355264
97	130.8344978
98	130.7385448
99	130.6501842
100	130.467767
101	130.382752
102	130.2743649
103	130.2286076
104	128.869186
105	128.290945
106	126.9868238
107	126.5628376
108	126.0082449
109	124.7522209
110	124.4153111
111	124.0518989
112	123.5874418
113	123.5179847
114	123.4771114
115	123.3743495
116	123.0526574
117	121.8925782
118	121.7972879
119	121.6775279
120	120.5234988
121	120.2093607
122	119.0960902
123	118.8203886
124	118.7804189
125	118.6959668
126	117.5994268
127	117.318078
128	117.1317063
129	116.1068632
130	115.8663796
131	114.8959551
132	114.6218887
133	113.6450136
134	113.5659604
135	113.5472832
136	112.6232295
137	112.5730184
138	112.5178988
139	112.4393396
140	112.3877893
141	112.3511954
142	112.255327
143	112.0676631
144	111.5814207
145	111.5135373
146	111.4779335
147	111.1223166
148	111.0874779
149	111.0497904
150	110.9985892
151	110.5268496
152	110.4581775
153	110.4023166
154	109.5407266
155	109.1669577
156	109.142014
157	109.0990011
158	108.9414635
159	108.1124055
160	107.9349593
161	107.8755935
162	107.8270227
163	107.7735795
164	107.623272
165	107.2187601
166	107.1184504
167	107.0652275
168	107.0112572
169	106.9582519
170	106.6979033
171	106.2749727
172	106.0533216
173	105.2795312
174	104.9363969
175	104.8947469
176	104.6758027
177	104.6504615
178	104.6108717
179	104.5104882
180	104.4873141
181	104.4328153
182	104.2563236
183	104.1152379
184	103.8586664
185	103.749038
186	103.7022888
187	102.9940821
188	102.3028183
189	102.2830524
190	102.226821
191	102.1353225
192	101.9425607
193	101.9036964
194	101.6023212
195	101.5512506
196	100.9030842
197	100.7969163
198	100.7781203
199	100.1460782
200	100.0650476
201	99.39470843
202	99.1234811
203	99.03980119
204	98.91276809
205	98.85838727
206	98.81020674
207	98.53819656
208	98.52493264
209	98.34131614
210	98.00431859
211	97.43827509
212	97.2211303
213	97.18964295
214	96.90905859
215	96.85888898
216	96.68042998
217	96.66735294
218	96.61782918
219	96.46209423
220	96.39706556
221	96.31679235
222	96.22063434
223	96.20447377
224	96.19431055
225	96.18270683
226	96.15831232
227	95.83243127
228	95.80078822
229	95.53842091
230	95.49921193
231	95.4451808
232	95.29314159
233	95.05308153
234	94.97478749
235	94.82321828
236	94.77644223
237	94.68388081
238	94.16838181
239	93.98410217
240	93.93448855
241	93.74479664
242	93.55980581
243	93.55168072
244	93.49799697
245	93.46507157
246	93.27848986
247	93.16028878
248	93.12317579
249	93.11191044
250	92.79946414
251	92.78933707
252	92.47954525
253	92.4184108
254	92.06169564
255	92.05494555
256	92.01751751
257	91.89713284
258	91.80112035
259	91.7427044
260	91.68212204
261	91.62695502
262	91.58289252
263	91.5766633
264	91.5332854
265	91.23815852
266	91.1781555
267	91.13322189
268	91.12613629
269	90.97627097
270	90.96872511
271	90.71333305
272	90.68650386
273	90.20219396
274	90.12278423
275	90.06811754
276	89.81750451
277	89.3601693
278	89.30526955
279	89.27914252
280	89.21176916
281	89.12785476
282	88.99378254
283	88.92691512
284	88.67840724
285	88.59983628
286	88.54138217
287	88.35834012
288	88.312781
289	88.06369318
290	87.92277187
291	87.85140897
292	87.79139624
293	87.72949132
294	87.72517179
295	87.69378601
296	87.63230009
297	87.49136073
298	87.48220635
299	87.13050251
300	87.01456156
301	86.78400561
302	86.72622641
303	86.55061396
304	86.32831942
305	86.25882276
306	86.12081376
307	86.01662018
308	85.89736296
309	85.87197382
310	85.80543602
311	85.66156573
312	85.52404346
313	85.44105462
314	85.40574215
315	85.21127409
316	85.18291408
317	85.12663311
318	85.09895941
319	85.07982439
320	84.9566132
321	84.93629613
322	84.88180468
323	84.83024886
324	84.6969186
325	84.5766794
326	84.50969013
327	84.31130243
328	84.30597869
329	83.96947748
330	83.81808388
331	83.7468665
332	83.74219384
333	83.53891992
334	83.48061239
335	83.3915307
336	83.38065418
337	83.3598175
338	83.16357192
339	83.02378937
340	82.96097022
341	82.95659169
342	82.87257883
343	82.77939441
344	82.74981856
345	82.73580859
346	82.66024936
347	82.46866229
348	82.27953458
349	82.26190878
350	82.07550625
351	82.01338299
352	81.83154213
353	81.79408574
354	81.67269765
355	81.6393982
356	81.59997433
357	81.55681806
358	81.50404255
359	81.4621921
360	81.38880178
361	81.16504764
362	81.12361735
363	80.97679654
364	80.95018865
365	80.91508623
366	80.9113996
367	80.86180189
368	80.8368219
369	80.80168605
370	80.79807187
371	80.74130467
372	80.70985037
